2443,4,4,368993,412128,368991,292086,369003,369001,476489,368989
126,5,5,542892,543619,543621,542890,246921,257957,543620,542891
2735,3,3,75184,313310,79349,335474,286312,314478,530009,155667
1128,3,3,390657,26902,156758,181923,104063,239993,278594,5748
2548,3,3,101296,138429,14600,337504,497339,126758,404753,200197
641,5,5,23491,114652,503397,365201,517526,503407,203827,365200
364,4,4,364177,356197,234293,331975,380138,304565,288127,180713
2563,2,2,349727,144242,519173,169210,307058,518950,130136,373683
2818,5,5,430545,225812,31349,273671,530091,137339,51188,105239
1290,1,1,239250,3211,266892,408159,116582,190799,217749,192314
1095,2,2,25931,117262,222800,458375,422093,201746,399904,162504
3146,2,3,338710,28124,121362,56685,389969,471849,203547,155026
1382,4,4,28557,179198,299710,28532,179210,70624,298951,440260
768,2,2,190468,281727,289682,93949,72216,329144,463064,526576
3277,2,2,340934,443973,366212,286637,341121,165142,121920,316851
2403,1,1,80955,380138,304565,288127,133100,234293,180713,56947
250,1,4,38326,331096,318581,428786,199235,117543,353356,4391
3669,1,4,409528,524068,398839,409535,321473,533949,67587,474871
1585,5,5,546323,97660,546017,547010,170305,544729,547393,544142
1028,1,1,474960,24615,321450,337992,191741,297018,430554,369647
1223,4,4,301582,235902,73938,98856,445196,99174,320318,98805
2994,4,4,361608,65003,201130,203623,485622,315975,374152,441058
374,2,3,482604,283189,294113,174730,530355,241839,529658,439718
4512,4,4,341345,341327,341353,317255,278732,128545,341323,341325
1308,2,4,154373,427064,53536,501489,203210,65562,301542,208159
2998,4,4,495825,495830,165536,36522,342903,325124,495824,405680
2733,1,2,313356,143715,185528,285881,353133,61602,211653,513775
1931,3,3,382483,524326,526389,186908,189331,137145,220035,199813
550,3,4,275046,207229,475733,283056,397378,313297,201672,499016
3124,1,1,543523,98805,44614,73938,99174,235902,301582,320318
4803,2,5,213240,456449,24222,125775,116683,320778,480391,258174
477,2,4,64292,486932,405595,42713,196246,518740,154964,103233
1106,3,4,274306,220461,469095,73930,445205,469141,73939,44451
3418,4,4,392144,497821,547605,409883,8163,367296,446392,323228
3840,5,5,297111,445945,18947,428153,241575,410107,451373,133888
4839,3,3,98743,274814,240114,152904,545920,547884,544422,545679
3537,5,5,223286,113381,66654,331719,385592,82401,321617,370318
1176,4,4,382725,5239,205320,182431,228832,471010,309574,539126
4806,2,2,23913,76985,142584,417574,261047,509113,42019,516767
1732,4,4,542868,29760,176909,39539,542873,543763,543731,542827
4243,4,4,392982,487745,311350,77590,266453,336379,472013,108248
2970,3,3,471281,496150,35238,67937,92835,51401,349562,423406
2601,5,6,546392,548419,547393,547251,546256,544142,546323,547837
3369,3,3,128809,418636,74355,173497,431344,432552,201213,398528
1855,3,3,537002,85047,248717,168973,515236,345975,119820,172818
459,1,2,67112,387969,36794,177539,432129,65000,166562,236926
1561,5,5,201573,216725,42688,215113,161939,487204,277249,252985
967,4,4,44579,372892,114562,110289,15709,346618,508821,85734
2544,2,3,164015,235412,289497,146481,40444,146482,440540,144417
3628,1,4,495358,540862,285434,24055,129998,410760,510563,276008
392,5,5,114380,126431,126434,109596,270525,114379,132757,546891
3611,4,4,107112,437884,437937,437877,276516,252076,33228,157725
1255,5,5,252789,543248,543163,543900,538975,172368,543174,179923
4777,1,1,534921,107094,83335,538451,520667,110903,151267,265277
3322,4,4,184635,406081,36151,345469,247772,134715,482045,280697
870,1,1,522365,175967,477298,346394,405646,38715,336243,257176
1726,5,5,252985,512041,523686,216725,201571,42688,277249,201575
432,3,4,194257,521119,82215,222012,49099,515582,439815,175798
152,4,4,344213,36241,501902,243285,93548,375471,419213,181170
241,5,5,452730,92199,252417,196045,478423,403213,288253,207858
192,5,5,86954,503397,365201,517528,203827,23491,114652,517527
2919,2,4,209502,204272,438665,488706,373068,187494,312335,244554
2216,2,3,527884,228007,411035,526468,281327,461890,231985,286391
1641,4,4,88618,249809,508486,57473,68824,172447,75158,426725
4612,3,3,215621,539641,468204,521115,102613,146270,69002,292618
4879,1,1,343602,418606,269572,503246,346971,112056,307971,171980
946,5,5,543162,74553,543900,172368,179923,127569,83156,538288
286,2,3,230863,405758,531754,422915,515103,399877,345529,42715
3371,5,5,30040,541140,141437,201732,3884,510394,340398,134176
4845,4,4,341327,341325,341323,341345,128545,278732,317255,341353
1628,2,3,327923,40327,397449,13590,544280,328952,155664,183232
1711,3,3,214409,528332,467674,51163,482420,38674,294044,470114
447,5,5,123305,385198,171679,56712,70029,481101,10150,271403
3929,1,3,302343,112056,269572,143672,302351,343602,277913,319570
211,3,3,310134,259747,225227,436122,523612,446312,418054,403337
521,3,5,87467,388655,112070,239638,530607,162428,441860,21717
1898,3,3,111755,461016,89050,373970,218901,239827,40111,446573
4888,4,4,341323,341353,128545,341325,341327,317255,278732,341345
1603,3,4,78535,348316,330204,21054,109928,237104,420887,155381
625,4,5,171066,63496,123229,420863,518285,1842,472229,186519
597,2,3,320288,188699,145090,182588,233839,205506,282907,62868
415,2,4,65361,391378,352697,327252,78498,328526,127712,115071
2181,4,4,103521,274520,440459,78827,286708,293922,293947,114303
2533,5,5,203827,524844,517526,516831,114652,517527,86954,23491
2912,1,1,61100,44809,70589,256889,236829,90139,425158,65323
